query,original_query,concepts
"2010's novels about technology, but not computing?",<mark>Novels about technology</mark> that are also <mark>2010s novels</mark> but not <mark>Novels about computing</mark>,"[""Contemporary novels"", ""Novels about technology"", ""Novels about biotechnology"", ""Novels about energy technology"", ""Novels about aerospace technology"", ""Novels about computing""]"
"Prehistoric animals of Europe and Africa, that are not from the Miocene period",<mark>Mammals of Europe</mark> that are also <mark>Prehistoric animals of Africa</mark> but not <mark>Miocene mammals</mark>,"[""Prehistoric animals of Europe"", ""Prehistoric animals of Africa"", ""Miocene animals""]"
name some Orchids of Mauritius or Flora of the Zanzibar Archipelago,<mark>Orchids of Mauritius</mark> or <mark>Flora of the Zanzibar Archipelago</mark>,"[""Orchids of Mauritius"", ""Flora of the Zanzibar Archipelago"", ""Flora of Unguja (Zanzibar Island)"", ""Flora of Pemba Island"", ""Orchids of the Mascarene Islands""]"
French alternate history films or Canadian animated sci-fi films,<mark>Canadian animated science fiction films</mark> or <mark>French alternate history films</mark>,"[""Alternate history films"", ""French films"", ""Animated science fiction films"", ""Canadian films""]"
microorganisms that grow at low water activity levels.,<mark>Xerophiles</mark>,"[""Xerophilic fungi"", ""Osmophilic yeasts"", ""Halophilic archaea"", ""Halotolerant bacteria"", ""Xerotolerant bacteria""]"
Films set France and medieval England that are also shot in Europe,<mark>Films set in France</mark> that are also both <mark>Films shot in Europe</mark> and <mark>Films set in medieval England</mark>,"[""Films set in France"", ""Films set in medieval England"", ""Films shot in Europe""]"
Birds of Venezuela that are also Birds of Costa Rica excluding Birds of Ecuador,<mark>Birds of Venezuela</mark> that are also <mark>Birds of Costa Rica</mark> but not <mark>Birds of Ecuador</mark>,"[""Birds of Venezuela"", ""Birds of Costa Rica"", ""Birds of Ecuador""]"
what are the Rodents of Cambodia,<mark>Rodents of Cambodia</mark>,"[""Rodents of Cambodia"", ""Mammals of Cambodia"", ""Rodents of Southeast Asia"", ""Rodents of Indochina""]"
Plants of the Cayman Islands or Netherlands Antilles,<mark>Flora of the Cayman Islands</mark> or <mark>Trees of the Cayman Islands</mark> or <mark>Flora of the Netherlands Antilles</mark>,"[""Flora of the Cayman Islands"", ""Flora of the Netherlands Antilles""]"
Croatian Endemic Flora,<mark>Endemic flora of Croatia</mark>,"[""Endemic flora of Croatia"", ""Endemic flowering plants of Croatia"", ""Plants endemic to the Dinaric Alps"", ""Endemic flora of the Balkan Peninsula"", ""Endemic island plants of the Adriatic Sea""]"
Films set in Samarkand or Uzbekistan or based on A Tale of Two Cities,<mark>Films based on A Tale of Two Cities</mark> or <mark>Films set in Samarkand</mark> or <mark>Films set in Uzbekistan</mark>,"[""Films set in Samarkand"", ""Films set in Uzbekistan"", ""Films based on A Tale of Two Cities""]"
Pleistocene animals from Oceania,<mark>Pleistocene animals of Oceania</mark>,"[""Pleistocene animals of Oceania"", ""Pleistocene mammals of Australia"", ""Pleistocene birds of Melanesia"", ""Pleistocene reptiles of Polynesia"", ""Pleistocene vertebrates of Micronesia""]"
1979 comedy films about the arts,<mark>Films about the arts</mark> that are also <mark>1979 comedy films</mark>,"[""1979 films"", ""Comedy films"", ""Films about visual arts"", ""Films about performing arts""]"
Stephen King novels from 1996,<mark>1996 novels</mark> that are also <mark>Novels by Stephen King</mark>,"[""Stephen King novels"", ""1996 novels""]"
Plants Southern United States and North-Central United States have in common but not trees found in Canada,<mark>Flora of the Southern United States</mark> that are also <mark>Flora of the North-Central United States</mark> but not <mark>Trees of Canada</mark>,"[""Plants of the Southern United States"", ""Plants of the North-Central United States"", ""Trees of Canada""]"
Ion Idriess novels,<mark>Novels by Ion Idriess</mark>,"[""Novels by Ion Idriess"", ""Australian adventure novels"", ""Australian historical fiction"", ""Australian outback fiction""]"
",what are Films set in the 28th century,Films set in 2030 or 2000 computer-animated films?",<mark>Films set in the 28th century</mark> or <mark>Films set in 2030</mark> or <mark>2000 computer-animated films</mark>,"[""Far-future setting films"", ""Near-future setting films"", ""Computer-animated feature films"", ""Early twenty-first-century films""]"
"Films set in the 1570s,Aztec Triple Alliance, or ancient Mesopotamia",<mark>Films set in the 1570s</mark> or <mark>Films set in the Aztec Triple Alliance</mark> or <mark>Films set in ancient Mesopotamia</mark>,"[""Films set in the late 16th century"", ""Films depicting the Aztec Empire"", ""Films set in ancient Mesopotamia""]"
Books about economic history and Oceania,<mark>Books about Oceania</mark> that are also <mark>Books about economic history</mark>,"[""Economic history books"", ""Books about Oceania"", ""Books on the economic history of the Pacific Islands"", ""Books on maritime trade history in Oceania""]"
Endemic birds or Fauna of São Vicente of cape Verde,<mark>Endemic birds of Cape Verde</mark> or <mark>Fauna of São Vicente Cape Verde</mark>,"[""Endemic birds of Cape Verde"", ""Birds of S\u00e3o Vicente, Cape Verde"", ""Fauna of S\u00e3o Vicente, Cape Verde"", ""Birds of Cape Verde""]"
what are Orchids of Suriname or Orchids of Panama,<mark>Orchids of Suriname</mark> or <mark>Orchids of Panama</mark>,"[""Orchids of Suriname"", ""Orchids of Panama""]"
Fauna of Madagascar and Insects but not Lepidoptera of Africa,<mark>Insects of Africa</mark> that are also <mark>Fauna of Madagascar</mark> but not <mark>Lepidoptera of Africa</mark>,"[""Fauna of Madagascar"", ""Insects"", ""Lepidoptera of Africa""]"
Barrie & Jenkins books but not by P.G. Wodehouse,<mark>Barrie & Jenkins books</mark> that are not <mark>Books by P. G. Wodehouse</mark>,"[""Books published by Barrie & Jenkins"", ""Books by P. G. Wodehouse""]"
Flora of Sinaloa and North America but not of Northeastern Mexico,<mark>Flora of North America</mark> that are also <mark>Flora of Sinaloa</mark> but not <mark>Flora of Northeastern Mexico</mark>,"[""Flora of Sinaloa"", ""Flora of North America"", ""Flora of Northeastern Mexico""]"
Endemic fauna of Guangxi,<mark>Endemic fauna of Guangxi</mark>,"[""Endemic fauna of Guangxi"", ""Endemic mammals of Guangxi"", ""Endemic amphibians of Guangxi"", ""Endemic reptiles of Guangxi"", ""Endemic freshwater fish of Guangxi"", ""Endemic cave fauna of Guangxi""]"
"Films set in the Dutch Golden Age, Dutch biographical dramas, or biographies about Rembrandt",<mark>Films set in the Dutch Golden Age</mark> or <mark>Dutch biographical drama films</mark> or <mark>Biographical films about Rembrandt</mark>,"[""Films set in the Dutch Golden Age"", ""Dutch biographical drama films"", ""Biographical films about Rembrandt""]"
2000's comedy-drama films set in 1970's,<mark>Films set in the 1970s</mark> that are also both <mark>2005 comedy-drama films</mark> and <mark>2000s comedy films</mark>,"[""Comedy-drama films"", ""2000s films"", ""Films set in the 1970s""]"
Liberian Pantropical flora this are also Aquatic plants,<mark>Flora of Liberia</mark> that are also both <mark>Pantropical flora</mark> and <mark>Aquatic plants</mark>,"[""Flora of Liberia"", ""Pantropical flora"", ""Aquatic plants"", ""Mangrove plants"", ""Freshwater aquatic plants""]"
Flora of Costa Rica and Brassicaceae genera,<mark>Brassicaceae genera</mark> that are also <mark>Flora of Costa Rica</mark>,"[""Flora of Costa Rica"", ""Brassicaceae genera""]"
Animals from Dinagat Islands or Camiguin,<mark>Fauna of Dinagat Islands</mark> or <mark>Fauna of Camiguin</mark>,"[""Fauna of Dinagat Islands"", ""Fauna of Camiguin"", ""Endemic fauna of Dinagat Islands"", ""Endemic fauna of Camiguin""]"
Trees of the Windward Islands or the Bahamas,<mark>Trees of the Windward Islands</mark> or <mark>Trees of the Bahamas</mark>,"[""Trees of the Windward Islands"", ""Trees of the Bahamas"", ""Trees of the Lesser Antilles"", ""Trees of the Caribbean""]"
Movies that are Luxembourgian LGBT-related or set in Slovakia.,<mark>Luxembourgian LGBT-related films</mark> or <mark>Films set in Slovakia</mark>,"[""Luxembourgian films"", ""LGBT-related films"", ""Films set in Slovakia""]"
Birds of the Venezuelan Andes but not Colombia.,<mark>Birds of the Venezuelan Andes</mark> that are not <mark>Birds of Colombia</mark>,"[""Birds of the Venezuelan Andes"", ""Birds of Colombia"", ""Birds of the Andes"", ""Birds of Venezuela""]"
"what Flora of Nigeria that are also Flora of Ivory Coast, but not Flora of Ghana?",<mark>Flora of Nigeria</mark> that are also <mark>Flora of Ivory Coast</mark> but not <mark>Flora of Ghana</mark>,"[""Flora of Nigeria"", ""Flora of Ivory Coast"", ""Flora of Ghana""]"
what are Flora of Zambia that are also Flora of Angola used in traditional African medicine,<mark>Flora of Zambia</mark> that are also both <mark>Flora of Angola</mark> and <mark>Plants used in traditional African medicine</mark>,"[""Flora of Zambia"", ""Flora of Angola"", ""Plants used in traditional African medicine""]"
musical films from 1931 that are not comedies,<mark>1931 musical films</mark> that are not <mark>1931 comedy films</mark>,"[""Musical films"", ""Early sound-era films"", ""Comedy films""]"
"what are some Ming dynasty, Chinese comedy, or Novels set in Kaifeng",<mark>Ming dynasty novels</mark> or <mark>Novels set in Kaifeng</mark> or <mark>Chinese comedy novels</mark>,"[""Ming dynasty China"", ""Chinese comedy"", ""Novels set in Kaifeng""]"
what are some Flora of North Korea or Flora of Shanxi?,<mark>Flora of North Korea</mark> or <mark>Flora of Shanxi</mark>,"[""Flora of North Korea"", ""Flora of Shanxi"", ""Endemic flora of North Korea"", ""Endemic flora of Shanxi""]"
what are some Novels by Douglas Cooper,<mark>Novels by Douglas Cooper</mark>,"[""Novels"", ""Books by Douglas Anthony Cooper""]"
British historical novels that are G. P. Putnam's Sons books,<mark>G. P. Putnam's Sons books</mark> that are also <mark>British historical novels</mark>,"[""British novels"", ""Historical novels"", ""G. P. Putnam's Sons books""]"
"Novels set in Kaifeng, Chongqing or Shaanxi",<mark>Novels set in Kaifeng</mark> or <mark>Novels set in Chongqing</mark> or <mark>Novels set in Shaanxi</mark>,"[""Novels set in Kaifeng"", ""Novels set in Chongqing"", ""Novels set in Shaanxi""]"
Animal life of Dinagat Islands or Biliran,<mark>Fauna of Dinagat Islands</mark> or <mark>Fauna of Biliran</mark>,"[""Fauna of Dinagat Islands"", ""Fauna of Biliran"", ""Fauna of Caraga"", ""Fauna of Eastern Visayas""]"
Science fiction novels for children about the United Kingdom,<mark>Children's science fiction novels</mark> that are also <mark>Books about the United Kingdom</mark>,"[""Children's science fiction novels"", ""Middle-grade science fiction novels"", ""Science fiction novels set in the United Kingdom"", ""British children's science fiction novels""]"
Birds of the Nicobar Islands or described in 1998,<mark>Birds described in 1998</mark> or <mark>Birds of the Nicobar Islands</mark>,"[""Birds of the Nicobar Islands"", ""Bird species with late 20th-century formal descriptions""]"
Non American horror that are Backwoods slasher films,<mark>Backwoods slasher films</mark> that are not <mark>American horror films</mark>,"[""Horror films"", ""Backwoods slasher films"", ""American horror films"", ""European horror films""]"
Birds from 1961,<mark>Birds described in 1961</mark>,"[""Bird species"", ""Newly described bird species"", ""Ornithological taxa descriptions"", ""Taxonomy of birds""]"
Novels about homelessness or the Troubles (Northern Ireland),<mark>Books about the Troubles (Northern Ireland)</mark> or <mark>Novels about homelessness</mark>,"[""Novels about homelessness"", ""Novels about the Troubles (Northern Ireland)"", ""Novels set in Northern Ireland""]"
Endagered birds of the North Americas from 1893,<mark>Critically endangered fauna of North America</mark> that are also both <mark>Birds of the Americas</mark> and <mark>Birds described in 1893</mark>,"[""Endangered birds"", ""Birds of North America"", ""Bird taxa described in the late nineteenth century""]"
what are 1960s dance films or Spanish dance films or Flamenco films,<mark>1960s dance films</mark> or <mark>Spanish dance films</mark> or <mark>Flamenco films</mark>,"[""Dance films"", ""1960s films"", ""Spanish films"", ""Flamenco films""]"
